,Y (North-South direction),X (East-West direction),Z,Name,Y/N,Correction,IMDATE Visible
,39.064618,125.956587,0,AAA,Y,,
,37.873341,126.121532,0,AAA,Y,,
,38.922265,125.521318,0,AAA,Y,,
,37.879766,126.168167,0,AAA,Y,,
,37.913703,126.325338,0,AAA,Y,,
,37.906945,126.228,0,AAA,Y,,
,37.903903,126.283947,0,AAA,Y,,
,38.115583,126.860947,0,AAA,Y,,4/2/2011
,38.199601,126.840982,0,AAA,Y,,5/25/2002
,37.8897,126.4246,0,Site,Y,,
,38.070423,126.446598,0,AAA,Y,,
,37.949136,126.577863,0,AAA,N,,
,37.96049,126.546643,0,AAA,Y,,
,37.993693,126.175607,0,AAA,Y,,3/29/2004
,37.965107,126.625058,0,AAA,Y,,1/22/2006
,37.964841,126.617964,0,AAA,N,,
,37.958291,126.646662,0,AAA,N,,
,37.889473,126.644919,0,AAA,Y,,
,38.04877,126.776233,0,AAA,Y,,12/26/2011
,38.07363,126.724519,0,AAA,Y,,4/6/2004
,38.080003,126.743561,0,AAA,Y,,
,38.102009,126.813565,0,AAA,Y,,9/2017
,38.0841,126.836463,0,AAA,Y,,8/2011
,38.127844,126.853374,0,AAA,Y,,
,38.150591,126.680402,0,AAA,Y,,
,38.06668,126.788049,0,AAA,Y,,6/2005
,37.824936,126.618491,0,AAA,Y,,
,38.378375,127.196905,0,AAA,Y,,12/2021
,38.391939,127.231307,0,AAA,Y,,5/2007
,42.243168,130.309956,0,AAA,Y,,
,38.407349,127.38865,0,AAA,Y,,
,38.505197,127.270109,0,AAA,Y,,11/2020
,38.495838,127.255166,0,AAA,Y,,6/2012
,38.473244,127.229654,0,AAA,Y,,4/2013
,38.590199,127.318917,0,AAA,Y,,7/2019
,38.588679,127.689182,0,AAA,Y,,
,38.666527,128.331465,0,AAA,Y,,
,38.6597778,125.1792861,0,AAA,Y,,
,39.028722,125.810635,0,AAA,N,,
,38.848115,125.427715,0,AAA,Y,,
,38.896905,125.727683,0,AAA,Y,,
,38.777354,125.719646,0,AAA,Y,,
,38.785962,125.744785,0,AAA,N,,
,38.7754667,125.6595056,0,AAA,Y,,
,38.75988,125.703497,0,AAA,Y,,
,38.781098,125.668379,0,AAA,Y,,
,38.043524,125.76926,0,AAA + SAM,YY,,
,38.664881,127.262956,0,AAA,Y,,12/2007
,38.4124278,127.5743223,0,AAA,N,,3/2023
,38.384626,127.679244,0,AAA,N,,
,38.733114,125.425007,0,AAA,Y,,
,38.75006981,125.4778999,0,AAA,Y,,
,38.895929,125.23352,0,AAA,Y,,
,38.795244,125.836631,0,AAA,Y,,
,39.316424,125.911406,0,AAA,Y,,10/2010
,39.236755,125.50701,0,AAA,Y,,
,39.258614,125.542044,0,AAA,Y,,
,39.220589,125.50647,0,AAA,Y,,
,39.215942,125.501739,0,AAA,Y,,
,39.184114,125.480184,0,AAA,Y,,
,39.442167,125.519131,0,AAA,Y,,
,39.492554,125.589745,0,AAA,N,,
,39.661619,125.675006,0,AAA,Y,,
,39.618711,125.558311,0,AAA,Y,,
,39.591729,125.687487,0,AAA,Y,,
,39.550809,125.857623,0,AAA,Y,,
,39.573342,125.884075,0,AAA,Y,,
,39.556405,125.867526,0,AAA,Y,,
,39.418924,125.919382,0,AAA,Y,,
,39.432957,125.939116,0,AAA,Y,,
,37.735562,125.344418,0,AAA,Y,,
,38.000748,125.833922,0,AAA + SAM,YY,,
,37.821822,126.111749,0,AAA,Y,,
,39.327165,127.421404,0,AAA,Y,,10/2009
,39.31417,127.399073,0,AAA,Y,,3/2013
,39.743881,127.475658,0,AAA,N,,
,39.759983,127.477192,0,AAA,N,,
,39.75472,127.471105,0,AAA,N,,
,39.737664,127.468776,0,AAA,N,,
,39.747594,127.457908,0,AAA,Y,,
,39.750894,127.458272,0,AAA,Y,,
,39.896283,127.617809,0,AAA,Y,,
,39.997637,127.421388,0,AAA,Y,,
,39.991555,127.613081,0,AAA,Y,,12/2016
,40.006014,127.62572,0,AAA,Y,,3/2021
,39.816423,127.555887,0,AAA,Y,,
,39.900226,127.792431,0,AAA,Y,,
,39.965451,127.430817,0,AAA,N,,
,40.734155,129.206142,0,AAA,Y,,
,40.636735,129.196277,0,?,N,,
,40.978592,129.332923,0,AAA,Y,,
,41.814438,129.782386,0,AAA,Y,,
,41.766945,129.738027,0,AAA ,YY,,
,41.698268,129.703153,0,AAA,Y,,
,42.166918,130.189968,0,AAA,Y,,
,40.356622,127.277236,0,AAA,Y,,
,39.752012,126.318236,0,AAA,Y,,
,39.77942,126.336527,0,AAA,Y,,
,39.763559,126.264703,0,AAA,Y,,
,39.065806,125.684916,0,AAA,N,,
,37.917953,126.628353,0,AAA,Y,,
,38.095389,126.79739,0,AAA,Y,,3/2019
,40.162389,124.508199,0,AAA,Y,,
,40.056294,124.573167,0,AAA,Y,,
,40.053411,124.573943,0,AAA,Y,,
,40.066572,124.404351,0,AAA,Y,,
,40.10072,124.419213,0,AAA,Y,,
,41.131791,126.26424,0,AAA,Y ?,,10/2005
,41.137363,126.26294,0,AAA,N ?,,
,41.148045,126.265285,0,AAA,N ?,,
,41.14626,126.282735,0,AAA,Y,,
,40.973258,126.620562,0,AAA,Y,,3/2006
,40.994658,126.609042,0,AAA,Y,,
,41.016189,126.651939,0,AAA,Y,,4/2015
,40.958267,126.633184,0,AAA,Y,,
,38.24953,126.631978,0,AAA,N,,
,38.64774,128.270522,0,AAA,Y,,
,37.935218,125.938715,0,AAA,Y,,
,40.421072,124.952134,0,AAA,Y,,
,40.438639,124.87879,0,AAA,Y,,9/2006
,39.684297,125.2058,0,AAA,Y,,
,39.967906,125.481802,0,AAA,Y,,
,39.774702,125.686418,0,AAA,Y,,
,39.800478,125.78081,0,AAA,Y,,
,39.865026,125.533623,0,AAA,Y,,
,40.149793,124.520187,0,AAA,Y,,
,39.402935,125.897789,0,AAA,N,,11/2019
,39.593011,126.36202,0,AAA,Y,,
,39.615744,126.342186,0,AAA,Y,,11/2005
,39.747456,126.27189,0,AAA,Y,,
,39.487836,127.270998,0,AAA,Y,,
,39.563734,127.508808,0,AAA,Y,,
,39.506903,127.413538,0,AAA,Y,,
,38.687233,126.596917,0,AAA,Y,,
,38.514614,126.487796,0,AAA,Y,,
,38.350477,126.829915,0,AAA,Y,,11/2014
,38.167038,126.677448,0,AAA,N,,
,39.147446,125.807095,0,AAA,Y,,
,39.165692,125.8319,0,AAA,Y,,
,39.154337,125.836519,0,AAA,Y,,
,39.188139,125.770013,0,AAA,Y,,
,39.338539,125.950656,0,AAA,Y,,
,39.174311,126.194325,0,AAA,Y,,
,40.624364,126.453071,0,AAA,Y,,
,40.616045,126.441608,0,AAA,Y,,
,39.895308,125.507761,0,AAA,Y,,
,39.830431,125.271617,0,AAA,Y,,
,38.452689,126.228758,0,AAA,Y,,
,38.470516,126.236011,0,AAA,N,,
,38.893767,126.1995,0,AAA,Y,,
,38.922599,125.986036,0,AAA,Y,,
,38.771158,126.081937,0,AAA,Y,,4/2017
,39.671014,125.69904,0,AAA,Y,,
,39.644601,125.670068,0,AAA,Y,,
,38.966089,125.885103,0,AAA,Y,,
,39.068801,125.606931,0,AAA,Y,,
,39.222,125.857586,0,AAA,Y/N,,4/2009
,39.850891,126.377268,0,AAA,Y,,
,39.212909,125.865651,0,AAA,Y,,
,39.218775,125.906197,0,AAA,Y,,
,38.371214,125.927836,0,AAA,Y,,
,38.334608,125.729837,0,AAA,Y,,
,38.938042,125.615799,0,AAA,Y,,
,39.014188,125.625549,0,AAA,Y,,
,38.923867,125.477608,0,AAA,Y,,
,38.945741,125.246147,0,AAA,Y,,
,38.127823,125.265967,0,AAA,Y,,
,38.028936,125.773069,0,AAA,Y,,
,38.090714,125.53756,0,AAA,Y?,,
,38.502951,125.189974,0,AAA,Y,,
,38.872407,125.495212,0,AAA,Y,,
,38.946535,125.562519,0,AAA,Y,,
,39.196839,125.405621,0,AAA,Y,,
,39.27439,125.989944,0,AAA,Y,,
,39.560641,125.796435,0,AAA,Y,,
,38.095446,126.471436,0,AAA,Y,,
,38.242722,126.445746,0,AAA,Y,,
,38.20814,126.437774,0,AAA,Y,,
,38.483668,126.884498,0,AAA,Y,,
,38.523507,126.880279,0,AAA,?,,
,38.535157,126.874103,0,AAA,Y,,
,38.380945,127.651657,0,AAA,N,,
,38.534219,127.674412,0,AAA,Y,,
,38.421812,127.407238,0,AAA,N,,
,39.871561,127.606404,0,AAA,Y,,
,41.085036,128.276315,0,AAA,Y,,
,41.925764,129.932838,0,AAA,Y,,
,38.835706,125.544033,0,AAA,Y,,
,40.081833,124.391111,0,AAA,Y,,
,39.636539,125.556725,0,AAA,Y,,
,39.645922,125.543544,0,AAA,Y,,
,39.619331,125.537552,0,AAA,Y,,
,39.597742,125.50415,0,AAA,N,,
,39.998169,124.573857,0,AAA,Y,,
,38.955604,125.608739,0,AAA,Y,,
,38.983335,125.858068,0,AAA,N,,
,38.946359,125.613522,0,AAA,Y,,
,38.985185,125.607452,0,AAA,Y,,
,38.99498,125.623246,0,AAA,Y,,
,38.972931,125.626292,0,AAA,Y,,
,39.006451,125.641158,0,AAA,Y,,
,39.078101,125.612494,0,AAA,Y,,
,39.071822,125.610064,0,AAA,Y,,
,39.026904,125.577579,0,AAA,Y,,
,38.935955,125.443105,0,AAA,Y,,
,39.16287,126.037801,0,AAA,?,,
,39.284007,125.937694,0,AAA,N,,
,39.346244,125.862066,0,AAA,Y,,
,39.281699,125.880755,0,AAA,Y,,3/2010
,39.420082,125.890966,0,AAA,Y,,
,39.425414,125.879536,0,AAA,Y,,
,39.404129,125.886228,0,AAA,Y,,3/2020
,39.403162,125.901526,0,AAA,Y,,
,39.500519,125.973542,0,AAA,Y,,
,39.50905,125.962408,0,AAA,Y,,
,39.513774,125.953887,0,AAA,Y,,
,39.516191,125.947086,0,AAA,Y,,
,39.502686,125.96483,0,AAA,Y,,11/2019
,39.514642,125.941702,0,AAA,Y,,
,39.497311,125.955385,0,AAA,N,,
,38.658144,125.796363,0,AAA,N,,
,38.897722,125.49499,0,AAA,Y,,
,38.92116,125.496179,0,AAA,Y,,
,38.9261,125.492039,0,AAA,Y,,
,38.943583,125.466308,0,AAA,Y,,
,38.943583,125.466308,0,AAA,Y,,
,38.818962,125.510372,0,AAA,Y,,
,38.825559,125.517726,0,AAA,Y,,
,38.82934,125.49018,0,AAA,Y,,
,38.853595,125.478326,0,AAA,Y,,
,38.848518,125.518156,0,AAA,Y,,
,38.872978,125.455236,0,AAA,Y,,
,39.000805,125.440858,0,AAA,Y,,
,38.983837,125.441495,0,AAA,Y,,
,38.978554,125.416201,0,AAA,Y,,
,39.245694,125.418959,0,AAA,Y,,
,39.275781,125.577583,0,AAA,Y,,
,39.579545,125.667148,0,AAA,Y,,
,39.751515,125.904492,0,AAA,Y,,4/2002
,39.751704,125.876325,0,AAA,Y,,
,39.745132,125.895546,0,AAA,Y,,4/2002
,39.720921,125.774635,0,AAA,?,,
,39.716572,125.723839,0,AAA,Y,,2/2007
,39.75971,125.701713,0,AAA,Y,,
,38.919151,125.2322,0,AAA,Y,,
,38.80033,125.438168,0,AAA,Y,,
,38.798302,125.469759,0,AAA,Y,,
,38.848526,125.494726,0,AAA,Y,,
,38.853826,125.443833,0,AAA,Y,,
,38.851308,125.443866,0,AAA,Y,,
,38.692008,126.612278,0,AAA,Y,,3/2006
,38.697733,126.616156,0,AAA,Y,,
,38.687466,126.609663,0,AAA,Y,,
,38.771581,126.686658,0,AAA,Y,,
,38.658973,126.541948,0,AAA,Y,,
,38.656642,126.547244,0,AAA,N,,
,38.6468,126.607211,0,AAA,Y,,
,38.639534,126.616966,0,AAA,Y,,
,39.184057,127.475608,0,AAA,??,,
,39.170227,127.4237,0,AAA,Y,,
,39.147241,127.43916,0,AAA,Y,,
,39.155156,127.410334,0,AAA,Y,,
,39.168664,127.410681,0,AAA,Y,,
,39.168429,127.405356,0,AAA,Y,,
,39.149186,127.599938,0,AAA,Y,,
,39.313422,127.542972,0,AAA,Y,,
,39.331715,127.54009,0,AAA,Y,,
,39.407171,127.521236,0,AAA,Y,,
,39.515678,127.466612,0,AAA,Y,,
,39.517872,127.466021,0,AAA,Y,,
,39.808482,127.549223,0,AAA,Y,,
,39.836304,127.549003,0,AAA,Y,,4/2003
,39.802844,127.535477,0,AAA,Y,,
,39.889041,127.795888,0,AAA,Y,,
,38.727908,128.18568,0,AAA,Y,,
,38.720416,128.189911,0,AAA,N,,
,38.723031,128.212413,0,AAA,N,,
,38.731203,128.234241,0,AAA,Y,,
,38.832467,128.0645,0,AAA,Y,,
,38.822904,128.11903,0,AAA,Y?,,4/2021
,38.889311,127.941653,0,AAA,Y,,
,38.913153,127.922146,0,AAA,Y,,
,38.923369,127.929553,0,AAA,N,,
,38.930736,127.873585,0,AAA,Y,,2/2017
,38.874268,127.913684,0,AAA,Y,,2/2017
,38.855312,127.864765,0,AAA,Y,,1/13/2004
,38.86455,127.906806,0,AAA,Y,,3/11/2013
,38.852674,127.897623,0,AAA,Y,,1/13/2004
,38.856592,127.896564,0,AAA,Y,,3/11/2013
,38.8806,127.923566,0,AAA+ Site,YY,,
,38.8551,127.924396,0,AAA,N,,
,38.870525,127.94844,0,AAA,Y,,2/11/2012
,40.005275,128.174593,0,AAA,Y,,12/18/2014
,39.273332,126.112372,0,AAA,Y,,
,39.593141,126.345847,0,AAA,Y,,9/12/2015
,38.391121,127.201638,0,AAA,Y,,11/12/2005
,38.624217,127.445962,0,AAA,Y,,
,38.59963,127.446353,0,AAA,Y,,10/12/2005
,38.288926,126.447956,0,AAA,Y,,
,38.316909,126.440127,0,AAA,Y,,
,38.339439,126.431731,0,AAA,Y,,4/1/2011
,38.337267,126.40399,0,AAA,N,,
,38.33005,126.333916,0,AAA,Y,,4/1/2011
,38.28905,126.379495,0,AAA,Y,,2/24/2019
,38.304878,126.376388,0,AAA,Y,,3/5/2021
,38.383018,126.369724,0,AAA,N,,
,38.240169,126.112388,0,AAA,Y,,1/8/2002
,39.005759,125.571563,0,AAA,Y,,
,39.106387,125.662586,0,AAA,Y,,
,39.207083,125.92921,0,AAA,N,,
,39.339298,125.512587,0,AAA,Y,,
,38.130581,125.225748,0,AAA,Y,,3/20/2005
,38.126808,125.221407,0,AAA,Y,,
,38.028538,125.5145,0,AAA,Y,,
,37.800263,125.343223,0,AAA,Y,,5/2/2021
,37.681737,125.349205,0,AAA,Y,,5/14/2010
,37.821155,125.338609,0,AAA,Y,,
,37.832857,125.352342,0,AAA,Y,,
,38.058225,125.686422,0,AAA,Y,,3/12/2004
,38.040312,125.646833,0,AAA,Y,,
,38.005176,125.700858,0,AAA,Y,,
,38.376344,125.663134,0,AAA,Y,,
,39.751353,125.119773,0,AAA,Y,,
,38.884169,125.275853,0,AAA,Y,,10/8/2018
,38.8892,125.274037,0,AAA,Y,,3/2/2005
,38.893079,125.268338,0,AAA,Y,,10/8/2018
,38.922322,125.403239,0,AAA,Y,,
,38.872725,125.483303,0,AAA,Y,,
,39.72518,125.158611,0,AAA,Y,,3/20/2005
,39.10553,125.37855,0,AAA,Y,,3/27/2002
,39.10553,125.37855,0,AAA,Y,,
,39.744783,125.867303,0,AAA,N,,
,39.775415,125.819514,0,AAA,Y,,
,41.368325,128.199363,0,AAA,Y,,
,41.371665,128.200044,0,AAA,Y,,11/13/2020
,41.389694,128.176261,0,AAA,Y,,
,41.830148,128.193255,0,AAA,Y,,
,41.704661,128.315103,0,AAA,Y,,12/5/2012
,40.052198,124.413788,0,AAA,Y,,
,41.18741,126.29365,0,AAA,Y,,
,37.943213,126.603394,0,AAA,N,,
,37.981263,126.610575,0,AAA,Y,,1/23/2006
,38.624533,126.728219,0,AAA,Y,,
,40.167842,128.53554,0,AAA,Y,,
,40.204564,128.660605,0,AAA,Y,,10/26/2020
,40.19195,128.658281,0,AAA,Y,,
,38.718094,125.650181,0,AAA,Y,,2/3/2018
,37.786144,125.362189,0,AAA,Y,,
,38.884014,125.889105,0,AAA,Y,,
,38.939444,125.797325,0,AAA,Y,,
,39.167881,125.676097,0,AAA,Y,,
,39.175544,125.720627,0,AAA,Y,,
,39.162514,125.725125,0,AAA,Y,,
,39.165278,125.77332,0,AAA,Y,,
,38.927039,125.87047,0,AAA,Y,,
,38.933289,125.86785,0,AAA,Y,,
,39.12108,125.704493,0,AAA,N,,
,39.132846,125.712158,0,AAA,Y,,
,38.856375,125.888577,0,AAA,Y,,
,38.829575,125.828081,0,AAA,Y,,
,38.8318,125.828909,0,AAA,Y,,
,38.833414,125.825753,0,AAA,Y,,
,38.800947,125.802345,0,AAA,Y,,
,38.64476,128.281545,0,AAA,Y,,10/30/2004
,38.666953,128.282177,0,AAA,Y,,
,39.169326,126.941084,0,AAA,N?,,
,38.443634,128.118727,0,AAA,Y,,
,38.382667,128.044678,0,AAA,Y,,
,39.167488,127.416894,0,AAA,Y,,
,40.805796,129.468085,0,AAA,N,,
,38.613229,127.453647,0,AAA,Y,,
,38.715961,125.437389,0,AAA (e),Y,,
,37.847733,126.184848,0,AAA (e),Y,,
,37.911069,126.308232,0,AAA (e),Y,,
,37.96371,126.451743,0,AAA (e),Y,,4/17/2018
,37.9635,126.429342,0,AAA (e),Y,,
,38.128261,126.880302,0,AAA (e),Y,,
,37.96253,126.649233,0,AAA (e),Y,,
,37.94968,126.591848,0,AAA (e),Y,,
,38.030586,126.742886,0,AAA (e),Y,,
,38.126906,126.873889,0,AAA (e),Y,,4/30/3013
,37.820562,126.625722,0,AAA (e),Y,,
,37.840844,126.6522,0,AAA (e),Y,,2/12/2015
,38.300775,126.829788,0,AAA (e),Y,,11/29/2017
,38.610587,127.358736,0,AAA (e),Y,,
,38.908824,125.794905,0,AAA (e),Y,,
,38.781631,125.68688,0,AAA (e),Y,,
,38.796885,125.702653,0,AAA (e),Y,,1/25/2021
,39.125459,126.111111,0,AAA (e),Y,,5/13/2011
,39.257263,126.167645,0,AAA (e),Y?,,11/17/2005
,39.352757,126.041835,0,AAA (e),Y,,
,39.354361,125.503938,0,AAA (e),N?,,
,37.936109,125.412241,0,AAA (e),Y,,
,38.01557,125.856291,0,AAA (e),Y,,12/26/2006
,39.374354,127.437233,0,AAA (e),Y,,
,39.302884,127.391727,0,AAA (e),N,,
,40.007836,127.614612,0,AAA (e),N,,
,39.986255,127.60015,0,AAA (e),N,,
,39.899826,127.816879,0,AAA (e),N,,
