Name,Latitude,Longitude
Fangchenggang-1/CPR1000,21.6672678°N,108.5630002°E
Fangchenggang-2/CPR1000,21.66652°N,108.5628608°E
Changjiang-1/CNP600,19.4606174°N,108.8998891°E
Changjiang-2/CNP600,19.4599194°N,108.9002753°E
Daya Bay-1/M310,22.5981268°N,114.5436798°E
Daya Bay-2/M310,22.5982472°N,114.5428321°E
Ling'ao-1/M310,22.6057015°N,114.5516456°E
Ling'ao-2/M310,22.6051369°N,114.5510341°E
Ling'ao-3/CPR1000,22.6090826°N,114.5543944°E
Ling'ao-4/CPR1000,22.6085056°N,114.5537873°E
Qinshan I/CNP300,30.4404719°N,120.9499531°E
Qinshan II-1/CNP600,30.4212579°N,120.9441917°E
Qinshan II-2/CNP600,30.4219055°N,120.9435909°E
Qinshan II-3/CNP600,30.4190375°N,120.940737°E
Qinshan II-4/CNP600,30.4196666°N,120.9401684°E
Qinshan III-1/CANDU,30.4363923°N,120.9589271°E
Qinshan III-2/CANDU,30.4366883°N,120.9574358°E
Fuqing-1/CPR1000,25.4368202°N,119.4369399°E
Fuqing-2/CPR1000,25.4373628°N,119.4376158°E
Fuqing-3/CPR1000,25.4399118°N,119.4408266°E
Fuqing-4/CPR1000,25.440435°N,119.4415025°E
Fuqing-5/HPR1000,25.4419076°N,119.443423°E
Fuqing-6/HPR1000,25.4432252°N,119.4451182°E
Xiapu-1/CFR600,26.803502°N,120.1546701°E
Xiapu-2/CFR600,26.8025444°N,120.1516446°E
Fangjiashan-1/CPR1000,30.4415056°N,120.9423413°E
Fangjiashan-2/CPR1000,30.4418571°N,120.941483°E
Haiyang-1/AP1000,36.7080774°N,121.3761397°E
Haiyang-2/AP1000,36.7083182°N,121.3784572°E
Haiyang-3/CAP1000,36.7085935°N,121.3817402°E
Haiyang-4/CAP1000,36.7088515°N,121.3841434°E
Sanmen-1/AP1000,29.1029491°N,121.6367511°E
Sanmen-2/AP1000,29.1024461°N,121.6387628°E
Sanmen-3/CAP1000,29.1018152°N,121.6413278°E
Sanmen-4/CAP1000,29.1012949°N,121.6433824°E
Hongyanhe-1/CPR1000,39.7967068°N,121.4733938°E
Hongyanhe-2/CPR1000,39.7967232°N,121.4744667°E
Hongyanhe-3/CPR1000,39.7967232°N,121.4774278°E
Hongyanhe-4/CPR1000,39.7967068°N,121.4783934°E
Hongyanhe-5/ACPR1000,39.7955857°N,121.4823202°E
Hongyanhe-6/ACPR1000,39.7955939°N,121.4833716°E
Ningde-1/CPR1000,27.0467554°N,120.2888796°E
Ningde-2/CPR1000,27.0463923°N,120.2880857°E
Ningde-3/CPR1000,27.0451023°N,120.2854464°E
Ningde-4/CPR1000,27.0447296°N,120.2846524°E
