Name,Facility Latitude,Facility Longitude,Entrance Latitute,Entrance Longitude,Reasoning Trace,(Optional) Multi-step reasoning,Notes
Fangchenggang-1/CPR1000,21.6672678°N,108.5630002°E,21.669727°,108.562646°,"conspicuous checkpoint where double fencing seen as two dark, straight, parallel lines breaks","Step 1: identify roads leading into and out of an industrial complex
Step 2: trace the roads to the complex entrances/exits. Either there is a checkpoint/break in the double fencing at the entrance/exit, or the double fencing cuts across the road forming a gate. There may be a guardhouse next to the gate
Step 3: trace the double fencing emanating from the entrances/exits to extend around the complex. The double fencing may appear as two or more lines, usually dark, that:
3a: are in most cases, though not always, straight and parallel, turning rigid corners
3b: enclose a band of a darker or lighter shade, which is the concrete ground in between the two fences
3c: cast segmented shadows as a fence would",
Fangchenggang-2/CPR1000,21.66652°N,108.5628608°E,21.668341°,108.565359°,triple fencing gate cutting across the entrance/exit road,,"these entrances/exits don't necessarily correspond to Fangchenggang unit 1/2. The two units share the same perimeter, so I just gave you two entrances/exits. There are others. Same for all commercial NPPs in this spreadsheet"
Changjiang-1/CNP600,19.4606174°N,108.8998891°E,19.462584°,108.899808°,"conspicuous checkpoint where double fencing seen as two dark, straight, parallel lines casting segmented shadows breaks",,
Changjiang-2/CNP600,19.4599194°N,108.9002753°E,19.461979°,108.898425°,double fencing gate seen by segmented shadows cutting across the entrance/exit road,,
Daya Bay-1/M310,22.5981268°N,114.5436798°E,22.598430°,114.542217°,double fencing gate seen as two dark lines cutting across the entrance/exit road,,
Daya Bay-2/M310,22.5982472°N,114.5428321°E,22.598395°,114.544336°,double fencing gate seen as two dark lines casting segmented shadows cutting across the entrance/exit road,,
Ling'ao-1/M310,22.6057015°N,114.5516456°E,22.601837°,114.550389°,checkpoint where double fencing seen by the enlosed dark gray band originates,,
Ling'ao-2/M310,22.6051369°N,114.5510341°E,22.603549°,114.548735°,double fencing gate seen as two dark lines cutting across the entrance/exit road,,
Ling'ao-3/CPR1000,22.6090826°N,114.5543944°E,22.604893°,114.550064°,"double fencing gate seen as two dark lines cutting across the entrance/exit road, casting segmented shadows",,
Ling'ao-4/CPR1000,22.6085056°N,114.5537873°E,22.606392°,114.551698°,"double fencing gate seen as two dark lines cutting across the entrance/exit road, casting segmented shadows",,
Qinshan I/CNP300,30.4404719°N,120.9499531°E,30.441521°,120.949063°,guardhouse equipped with double fencing gate cutting across the entrance/exit road then extending into a double fence perimeter casting segmented shadows around the complex,,
Qinshan II-1/CNP600,30.4212579°N,120.9441917°E,30.420551°,120.940231°,"conspicuous checkpoint where double fencing seen as two dark, straight, parallel lines casting segmented shadows breaks",,
Qinshan II-2/CNP600,30.4219055°N,120.9435909°E,30.422130°,120.941676°,"conspicuous checkpoint where double fencing seen as two dark, straight, parallel lines casting segmented shadows breaks",,
Qinshan II-3/CNP600,30.4190375°N,120.940737°E,30.421041°,120.940880°,"double fencing gate seen as two dark lines cutting across the entrance/exit road, casting segmented shadows",,
Qinshan II-4/CNP600,30.4196666°N,120.9401684°E,30.420205°,120.945681°,"double fencing gate seen as two dark lines cutting across the entrance/exit road, casting segmented shadows",,
Qinshan III-1/CANDU,30.4363923°N,120.9589271°E,30.437680°,120.956633°,"conspicuous checkpoint where double fencing seen as two dark, straight, parallel lines casting segmented shadows breaks",,
Qinshan III-2/CANDU,30.4366883°N,120.9574358°E,30.434849°,120.955711°,triple fencing gate seen as three dark lines cutting across the entrance/exit road,,
Fuqing-1/CPR1000,25.4368202°N,119.4369399°E,25.437535°,119.438980°,"checkpoint where double fencing seen as two dark, straight, parallel lines turning rigid corners breaks, then extends around the complex",,
Fuqing-2/CPR1000,25.4373628°N,119.4376158°E,25.439901°,119.437509°,"break in double fencing seen as two dark, straight, parallel lines turning rigid corners",,
Fuqing-3/CPR1000,25.4399118°N,119.4408266°E,25.438436°,119.440817°,"checkpoint where double fencing seen as two dark, straight, parallel lines turning rigid corners breaks, then continues to extend around the complex",,
Fuqing-4/CPR1000,25.440435°N,119.4415025°E,25.442486°,119.440823°,triple fencing gate seen as three dark lines cutting across the entrance/exit road,,
Fuqing-5/HPR1000,25.4419076°N,119.443423°E,25.442138°,119.444972°,"checkpoint where double fencing seen as two dark, straight, parallel lines turning rigid corners breaks, then continues to extend around the complex",,
Fuqing-6/HPR1000,25.4432252°N,119.4451182°E,25.445597°,119.444494°,"break in triple fencing seen as dark, straight, parallel lines turning rigid corners",,
Xiapu-1/CFR600,26.803502°N,120.1546701°E,26.803516°,120.152657°,"checkpoint where double fencing seen as two dark, straight, parallel lines turning rigid corners breaks, then continues to extend around the complex",,
Xiapu-2/CFR600,26.8025444°N,120.1516446°E,,,,,shared perimeter
Fangjiashan-1/CPR1000,30.4415056°N,120.9423413°E,30.441728°,120.943624°,"guardhouse from which double fencing seen as two dark, straight, parallel lines enclosing a gray band emanates, double fencing gate seen as two dark lines across the entrance/exit road",,
Fangjiashan-2/CPR1000,30.4418571°N,120.941483°E,30.443232°,120.939781°,double fencing gate seen as two dark lines cutting across the entrance/exit road,,
Haiyang-1/AP1000,36.7080774°N,121.3761397°E,36.710897°,121.379924°,"conspicuous checkpoint where double fencing seen as two bright, straight, parallel lines turning rigid corners breaks",,
Haiyang-2/AP1000,36.7083182°N,121.3784572°E,36.705932°,121.378217°,"guardhouse from which double fencing seen by segmented shadows emanates, double fencing gate seen as two dark lines across the entrance/exit road",,
Haiyang-3/CAP1000,36.7085935°N,121.3817402°E,,,,,under construction
Haiyang-4/CAP1000,36.7088515°N,121.3841434°E,,,,,under construction
Sanmen-1/AP1000,29.1029491°N,121.6367511°E,29.103828°,121.635462°,"conspicuous checkpoint where double fencing seen as dark, straight, parallel lines casting segmented shadows and enclosing a gray band emanates and continues to extend around the complex",,
Sanmen-2/AP1000,29.1024461°N,121.6387628°E,29.101058°,121.637015°,"double fencing gate seen as two dark lines cutting across the entrance/exit road, casting segmented shadows",,
Sanmen-3/CAP1000,29.1018152°N,121.6413278°E,,,,,under construction
Sanmen-4/CAP1000,29.1012949°N,121.6433824°E,,,,,under construction
Hongyanhe-1/CPR1000,39.7967068°N,121.4733938°E,39.793640°,121.476410°,"conspicuous checkpoint where double fencing seen as two straight, parallel lines breaks, then continues to extend around the complex",,
Hongyanhe-2/CPR1000,39.7967232°N,121.4744667°E,39.799689°,121.472548°,double fencing gate seen as two dark lines cutting across the entrance/exit road,,
Hongyanhe-3/CPR1000,39.7967232°N,121.4774278°E,39.799706°,121.479679°,triple fencing gate seen as three dark lines cutting across the entrance/exit road,,
