,Y (North-South direction),X (East-West direction),Z,Name,Y/N,Correction,IMDATE Visible
,41.298975,129.326798,0,AAA,Y,,
,38.751913,125.743277,0,AAA,Y,,
,42.097035,130.568001,0,AAA,Y,,
,42.221236,125.734203,0,AAA,Y,,
,41.848238,129.884283,0,AAA,Y,,
,40.438504,127.535305,0,AAA,Y,,
,42.459141,126.591911,0,AAA,Y,,
,41.435804,128.11153,0,AAA,Y,,
,42.695617,128.738407,0,AAA,Y,,
,40.707263,130.090249,0,AAA,Y,,
,37.680529,128.309823,0,AAA,Y,,
,41.104612,126.465074,0,AAA,Y,,
,42.809653,126.348578,0,AAA,Y,,
,42.347801,124.046169,0,AAA,Y,,
,40.645376,130.009073,0,AAA,Y,,
,41.374264,128.066207,0,AAA,Y,,
,39.269806,126.567198,0,AAA,Y,,
,40.045351,124.151397,0,AAA,Y,,
,40.627044,127.407628,0,AAA,Y,,
,42.013815,124.591959,0,AAA,Y,,
,42.783892,129.251906,0,AAA,Y,,
,40.8646,125.43512,0,AAA,Y,,
,38.381043,127.779593,0,AAA,Y,,
,39.446028,128.352569,0,AAA,Y,,
,38.357626,127.706278,0,AAA,Y,,
,39.469834,126.802446,0,AAA,Y,,
,38.902104,125.519415,0,AAA,Y,,
,39.612896,128.69185,0,AAA,Y,,
,38.74566,129.443312,0,AAA,Y,,
,40.628972,129.975028,0,AAA,Y,,
,40.30086,130.140543,0,AAA,Y,,
,39.855465,125.575653,0,AAA,Y,,
,39.299531,126.346668,0,AAA,Y,,
,41.39184,126.631688,0,AAA,Y,,
,42.351026,128.183524,0,AAA,Y,,
,38.096139,127.902319,0,AAA,Y,,
,41.525953,124.707318,0,AAA,Y,,
,38.797847,125.347456,0,AAA,Y,,
,38.41343,129.130242,0,AAA,Y,,
,38.261262,124.922274,0,AAA,Y,,
,38.812094,128.728079,0,AAA,Y,,
,38.76439,126.19069,0,AAA,Y,,
,42.986566,125.891365,0,AAA,Y,,
,41.378417,124.657582,0,AAA,Y,,
,41.291778,129.858957,0,AAA,Y,,
,40.466591,129.616243,0,AAA,Y,,
,40.726177,128.029528,0,AAA,Y,,
,39.93692,129.378203,0,AAA,Y,,
,42.376627,125.044844,0,AAA,Y,,
,37.759624,128.608536,0,AAA,Y,,
,37.53746,126.54407,0,AAA,Y,,
,37.535817,130.209296,0,AAA,Y,,
,42.933092,124.932224,0,AAA,Y,,
,38.84835,128.176342,0,AAA,Y,,
,41.768523,126.513025,0,AAA,Y,,
,38.920796,125.76165,0,AAA,Y,,
,37.930308,127.262892,0,AAA,Y,,
,41.285182,128.780448,0,AAA,Y,,
,38.083159,126.724604,0,AAA,Y,,
,41.107714,129.069991,0,AAA,Y,,
,39.385713,129.852971,0,AAA,Y,,
,40.553214,125.317234,0,AAA,Y,,
,37.598582,124.637258,0,AAA,Y,,
,41.209856,124.922198,0,AAA,Y,,
,41.048107,125.358509,0,AAA,Y,,
,42.369655,126.950203,0,AAA,Y,,
,39.724575,127.637814,0,AAA,Y,,
,42.221169,128.382737,0,AAA,Y,,
,41.472495,125.959812,0,AAA,Y,,
,42.686918,124.052482,0,AAA,Y,,
,38.93817,128.801046,0,AAA,Y,,
,40.974426,124.366553,0,AAA,Y,,
,42.82541,128.24679,0,AAA,Y,,
,42.766971,127.996316,0,AAA,Y,,
,42.021041,128.246652,0,AAA,Y,,
,38.750258,124.879639,0,AAA,Y,,
,42.069071,126.866907,0,AAA,Y,,
,42.040451,128.824856,0,AAA,Y,,
,39.908864,124.041461,0,AAA,Y,,
,38.246955,128.874725,0,AAA,Y,,
,39.208288,130.328197,0,AAA,Y,,
,41.566632,125.903159,0,AAA,Y,,
,42.364017,129.711063,0,AAA,Y,,
,39.458285,130.266179,0,AAA,Y,,
,42.429639,129.36586,0,AAA,Y,,
,42.423991,128.584128,0,AAA,Y,,
,39.839306,126.065231,0,AAA,Y,,
,40.929116,124.908453,0,AAA,Y,,
,39.296938,125.700624,0,AAA,Y,,
,40.246267,129.024249,0,AAA,Y,,
,40.897239,126.216072,0,AAA,Y,,
,37.704109,125.064572,0,AAA,Y,,
,39.051984,125.855478,0,AAA,Y,,
,41.124226,127.950954,0,AAA,Y,,
,39.739972,126.005246,0,AAA,Y,,
,38.045195,128.549621,0,AAA,Y,,
,40.921042,129.341262,0,AAA,Y,,
,41.852537,125.734556,0,AAA,Y,,
,38.114492,124.942004,0,AAA,Y,,
,42.968026,124.457167,0,AAA,Y,,
,40.015113,130.253764,0,AAA,Y,,
,40.334008,126.147207,0,AAA,Y,,
,39.147327,127.92494,0,AAA,Y,,
,41.119546,125.782022,0,AAA,Y,,
,40.743784,125.358173,0,AAA,Y,,
