,Y (North-South direction),X (East-West direction),Z,Name,Y/N,Correction,IMDATE Visible
,40.051714,116.351288,0,BEIJING,Y,,
,39.264366,118.024786,0,TIANJIN,Y,,
,30.932713,121.276858,0,SHANGHAI,Y,,
,22.477847,114.217096,0,SHENZHEN,Y,,
,23.50324,113.062769,0,GUANGZHOU,Y,,
,30.317156,103.937941,0,CHENGDU,Y,,
,29.394434,106.951218,0,CHONGQING,Y,,
,30.788174,114.546493,0,WUHAN,Y,,
,34.362423,108.880397,0,XIAN,Y,,
,30.514313,120.11485,0,HANGZHOU,Y,,
,39.580809,116.243165,0,BEIJING,Y,,
,39.284054,118.0288,0,TIANJIN,Y,,
,31.524604,121.839577,0,SHANGHAI,Y,,
,22.532903,113.907637,0,SHENZHEN,Y,,
,23.346843,113.586043,0,GUANGZHOU,Y,,
,30.821659,103.76158,0,CHENGDU,Y,,
,29.652906,106.968786,0,CHONGQING,Y,,
,30.586356,114.653508,0,WUHAN,Y,,
,34.390687,108.780396,0,XIAN,Y,,
,30.492824,120.369465,0,HANGZHOU,Y,,
,39.687759,116.124185,0,BEIJING,Y,,
,39.02773,118.051903,0,TIANJIN,Y,,
,31.493355,120.844137,0,SHANGHAI,Y,,
,22.488287,114.070003,0,SHENZHEN,Y,,
,23.275845,113.676635,0,GUANGZHOU,Y,,
,30.875204,103.94201,0,CHENGDU,Y,,
,29.356433,106.974818,0,CHONGQING,Y,,
,30.377849,114.678517,0,WUHAN,Y,,
,34.254959,108.910596,0,XIAN,Y,,
,30.156442,120.232136,0,HANGZHOU,Y,,
,40.07132,116.116679,0,BEIJING,Y,,
,39.079731,116.626843,0,TIANJIN,Y,,
,31.456348,121.701472,0,SHANGHAI,Y,,
,22.476545,113.972,0,SHENZHEN,Y,,
,23.099377,113.678945,0,GUANGZHOU,Y,,
,30.766333,104.08041,0,CHENGDU,Y,,
,29.268492,106.764008,0,CHONGQING,Y,,
,30.465908,114.261028,0,WUHAN,Y,,
,34.174412,109.075522,0,XIAN,Y,,
,30.038399,120.545006,0,HANGZHOU,Y,,
,39.914024,116.096204,0,BEIJING,Y,,
,38.861611,117.715084,0,TIANJIN,Y,,
,31.287123,121.981012,0,SHANGHAI,Y,,
,22.575177,114.078735,0,SHENZHEN,Y,,
,22.932311,113.338043,0,GUANGZHOU,Y,,
,30.730275,103.827562,0,CHENGDU,Y,,
,29.511152,106.90508,0,CHONGQING,Y,,
,30.665812,114.253683,0,WUHAN,Y,,
,34.304012,109.017354,0,XIAN,Y,,
,30.464857,120.583506,0,HANGZHOU,Y,,
,40.240098,116.681234,0,BEIJING,Y,,
,38.760223,117.845725,0,TIANJIN,Y,,
,31.271862,121.52237,0,SHANGHAI,Y,,
,22.536664,114.015741,0,SHENZHEN,Y,,
,22.973928,113.839995,0,GUANGZHOU,Y,,
,30.538848,104.047294,0,CHENGDU,Y,,
,29.941475,106.876763,0,CHONGQING,Y,,
,30.692588,114.195994,0,WUHAN,Y,,
,34.275028,108.820884,0,XIAN,Y,,
,30.101276,120.075457,0,HANGZHOU,Y,,
,39.699481,116.394643,0,BEIJING,Y,,
,38.609237,117.159773,0,TIANJIN,Y,,
,31.107858,121.166651,0,SHANGHAI,Y,,
,22.438523,114.272647,0,SHENZHEN,Y,,
,22.900609,113.291876,0,GUANGZHOU,Y,,
,30.871522,103.626889,0,CHENGDU,Y,,
,29.996909,106.429044,0,CHONGQING,Y,,
,30.633603,114.101467,0,WUHAN,Y,,
,34.159508,109.068261,0,XIAN,Y,,
,30.492218,120.204124,0,HANGZHOU,Y,,
,39.510932,116.453948,0,BEIJING,Y,,
,38.92048,116.67836,0,TIANJIN,Y,,
,31.156754,120.883052,0,SHANGHAI,Y,,
,22.592212,113.937273,0,SHENZHEN,Y,,
,22.83209,113.632678,0,GUANGZHOU,Y,,
,30.831299,103.68342,0,CHENGDU,Y,,
,29.519657,106.459945,0,CHONGQING,Y,,
,30.595198,114.66455,0,WUHAN,Y,,
,34.348761,109.041516,0,XIAN,Y,,
,30.394437,119.657507,0,HANGZHOU,Y,,
,40.075074,116.122012,0,BEIJING,Y,,
,39.105819,116.616127,0,TIANJIN,Y,,
,31.363656,121.346333,0,SHANGHAI,Y,,
,22.464169,114.294194,0,SHENZHEN,Y,,
,22.838613,113.690716,0,GUANGZHOU,Y,,
,30.665313,103.662254,0,CHENGDU,Y,,
,30.021575,106.984039,0,CHONGQING,Y,,
,30.437566,114.449061,0,WUHAN,Y,,
,34.43031,108.931124,0,XIAN,Y,,
,30.257656,120.475465,0,HANGZHOU,Y,,
,40.210611,116.126707,0,BEIJING,Y,,
